h,multlin1,seylin,multexp1,seyexp,multrec1,seyrec,ptestdiff
0,1.239996,.2921041,1.179334,.3763131,1.451855,.4649982,
1,1.099147,.2174007,1.060646,.304942,1.191498,.2064566,
2,.9420875,.1531962,.9296148,.2005253,.9752737,.1302202,
3,.8049639,.1179041,.7915884,.1443595,.8488649,.1203365,
4,.7826619,.0947122,.7712442,.1117,.8274482,.1246633,
5,.7858843,.081788,.7649224,.0916067,.8798118,.1385537,
6,.785075,.0766046,.7605761,.0834322,.9049038,.1445551,
7,.7731124,.0723417,.745317,.0787054,.9178064,.147402,
8,.7782995,.0660146,.7492821,.0718732,.9410471,.1521055,
9,.7953511,.0636444,.7670826,.0672726,.9681416,.1555106,
10,.8143966,.0641366,.7866426,.0655064,1.000737,.16256,
11,.8261109,.0648593,.7989409,.0646073,1.026833,.172188,
12,.8340933,.0675155,.801958,.0625577,1.097108,.1893182,
13,.8380197,.0613629,.804707,.046691,1.132831,.2046351,
14,.8443167,.0662958,.8086921,.0578311,1.182601,.2260968,
15,.8489261,.0666933,.8102788,.0585799,1.239016,.2254382,
16,.8578115,.0658785,.8166782,.0595353,1.293108,.2710957,
17,.8726012,.0681904,.8294408,.0620636,1.34376,.2979343,
18,.902718,.072433,.8535008,.0654935,1.465426,.3543825,
19,.9300242,.0786918,.8807642,.0711417,1.496617,.386437,
20,.9590252,.0861326,.9104156,.0781114,1.518052,.413868,
21,.9843953,.0958203,.9373615,.0877001,1.519133,.4363178,
22,1.010345,.1051476,.9646242,.0972582,1.520207,.4513546,
23,1.051318,.1166404,1.004871,.108957,1.561409,.4849947,
24,1.093085,.1275974,1.047375,.1211682,1.58352,.5106274,
25,1.135137,.1397724,1.087674,.1344998,1.632071,.5507773,
26,1.173409,.1493242,1.122575,.1444395,1.692102,.5694088,
27,1.215614,.1624484,1.163417,.1583487,1.730471,.539014,
28,1.261535,.1787655,1.20734,.1754217,1.778046,.5986217,
29,1.303084,.1997959,1.24279,.1932399,1.866973,.6451901,
30,1.346017,.2240576,1.282613,.2172132,1.919004,.675513,
