h,bglin,up90bglin,lo90bglin,bylin,up90bylin,lo90bylin,bgexp,up90bgexp,lo90bgexp,byexp,up90byexp,lo90byexp,bgrec,up90bgrec,lo90bgrec,byrec,up90byrec,lo90byrec
0,.0369897,.0612378,.012609,.0458671,.0688565,.0227519,.0297012,.0561566,.003101,.0345752,.0526631,.0163883,.1336618,.2199861,.0468653,.1956374,.2730894,.1177617
1,.0696769,.1004753,.0388786,.0713659,.1060185,.0367133,.0460655,.0699069,.0222241,.0449279,.0626307,.0272252,.3827941,.5318199,.2337682,.4219662,.5794713,.2644611
2,.1436694,.192992,.0943467,.1184507,.1510758,.0858256,.1089089,.1551211,.0626967,.0913808,.1177201,.0650414,.6048026,.8083558,.4012494,.4775609,.6531538,.3019681
3,.2058461,.2669176,.1447745,.1313101,.1581409,.1044792,.1751625,.2381499,.1121751,.1124317,.1432726,.0815907,.6128456,.900446,.3252452,.3817209,.6188024,.1446395
4,.2445745,.3256113,.1635377,.1808992,.236586,.1252124,.2204551,.3053184,.1355919,.1619497,.2260568,.0978425,.5644543,.9512276,.1776811,.4322148,.7235074,.1409222
5,.2736075,.3817657,.1654493,.2152493,.2963756,.134123,.2525197,.3695862,.1354531,.1856148,.2764012,.0948284,.5538387,.9333188,.1743586,.6090556,.8688835,.3492277
6,.3012048,.4256851,.1767244,.2351152,.3262352,.1439952,.2785481,.4127579,.1443383,.2049729,.3076409,.1023049,.6021857,.9271274,.2772441,.635538,.9237227,.3473532
7,.3033534,.4272887,.179418,.2168085,.3113303,.1222868,.2822909,.4194188,.1451631,.187201,.2997516,.0746504,.5827955,.8735908,.2920002,.60962,.958499,.260741
8,.2982853,.442301,.1542696,.2398987,.3540442,.1257532,.2868728,.449645,.1241005,.2168828,.3513326,.0824329,.4496631,.7027007,.1966254,.5451854,.9316904,.1586804
9,.3168429,.4852588,.148427,.2813074,.4019315,.1606833,.314063,.5037786,.1243474,.2628005,.3972412,.1283598,.3536465,.5888411,.1184519,.5263283,.8644561,.1882005
10,.3274231,.5250098,.1298364,.3028187,.4557703,.149867,.3333112,.5554077,.1112147,.2906596,.4403533,.1409659,.2496906,.4732343,.0261469,.463337,.7521665,.1745075
11,.3388232,.5557262,.1219202,.3047043,.4542235,.1551851,.3518664,.5954955,.1082373,.3008024,.466736,.1348688,.1668588,.3875388,-.0538212,.3561481,.6520435,.0602526
12,.3201972,.5378039,.1025905,.2728342,.429246,.1164223,.3385685,.583679,.093458,.2695874,.4470341,.0921406,.0748083,.3155495,-.1659329,.3162022,.6341798,-.0017754
13,.2836384,.4991902,.0680866,.2477959,.4178608,.0777309,.3026853,.5455219,.0598487,.2451649,.4383999,.05193,.0292661,.2842812,-.2257491,.282932,.6336533,-.0677894
14,.2554052,.4706426,.0401679,.2280578,.4155321,.0405835,.2754765,.5176639,.033289,.2222961,.4352952,.0092971,-.0125622,.2485148,-.2736393,.3049803,.6701043,-.0601436
15,.2046374,.3884137,.0208612,.1847188,.3550787,.0143588,.224461,.4319359,.0169861,.1764379,.3722447,-.019369,-.0599672,.1958229,-.3157572,.2952513,.6583525,-.0678498
16,.1398779,.2743529,.0054029,.1469391,.2734232,.0204551,.1563582,.3099386,.0027778,.1410157,.2855665,-.0035351,-.0800947,.1632337,-.323423,.2260018,.59748,-.1454764
17,.0681435,.1552355,-.0189486,.1154558,.2095297,.0213819,.0800557,.1794643,-.0193529,.1090941,.2139018,.0042864,-.0908398,.1312883,-.3129678,.2003607,.5593017,-.1585802
18,.0280624,.0971449,-.0410201,.1094696,.189755,.0291841,.0376346,.111648,-.0363788,.1063822,.1921337,.0206306,-.1010659,.1123182,-.3144501,.151118,.5083022,-.2060662
19,-.0085142,.0634546,-.080483,.093658,.1714972,.0158189,-.0044702,.0680288,-.0769691,.0913883,.1678026,.014974,-.0630406,.1316344,-.2577157,.1242608,.4860067,-.2374852
20,-.0257265,.0438271,-.0952801,.079572,.1610556,-.0019116,-.022923,.0473566,-.0932027,.0788789,.1553057,.0024522,-.0634937,.1063522,-.2333395,.0889087,.4363858,-.2585684
21,-.0527163,.0232764,-.128709,.0518446,.1379315,-.0342423,-.0541949,.0216136,-.1300034,.052563,.1331348,-.0280088,-.0327971,.116826,-.1824203,.042167,.3680501,-.283716
22,-.0707572,.0281161,-.1696304,.0246201,.1267876,-.0775474,-.0742218,.0255226,-.1739661,.0207671,.1183293,-.076795,-.02412,.1320061,-.180246,.0764844,.3761337,-.2231649
23,-.1052588,.0160639,-.2265815,.032731,.1436987,-.0782366,-.1097588,.014828,-.2343455,.0301148,.1369946,-.076765,-.0446654,.1182298,-.2075606,.0679593,.3856415,-.2497229
24,-.1197936,.0131444,-.2527316,.0302905,.145386,-.0848049,-.1248772,.0123675,-.2621219,.0275177,.1410741,-.0860387,-.0513417,.1274295,-.2301128,.0676276,.3728983,-.2376432
25,-.1224808,.0161601,-.2611217,.0173896,.1401287,-.1053496,-.1298376,.0148813,-.2745565,.0082965,.1303293,-.1137364,-.0234178,.1586488,-.2054845,.1398325,.4394139,-.159749
26,-.116451,.0262314,-.2591335,.0073002,.1310545,-.116454,-.1256705,.0247023,-.2760432,-.0037381,.1200679,-.1275441,.0076399,.1903293,-.1750495,.1558729,.4549534,-.1432076
27,-.1213664,.0196464,-.2623793,.0150125,.1391068,-.1090817,-.1307573,.0188549,-.2803695,.0031027,.1284616,-.1222561,.005015,.1996202,-.1895901,.1752936,.4751337,-.1245466
28,-.1202647,.0174167,-.2579461,.0026295,.1266429,-.1213839,-.1293357,.0167938,-.2754653,-.0119643,.1107345,-.134663,.0018151,.2047953,-.2011651,.1990349,.5117348,-.113665
29,-.122982,.0134093,-.2593733,-.0359433,.0855325,-.1574192,-.1310257,.0129968,-.2750481,-.0522327,.0647731,-.1692384,-.0143725,.186554,-.2152991,.1840039,.5506262,-.1826184
30,-.131893,.0002478,-.2640338,-.049543,.0765871,-.1756732,-.1392795,-.0009612,-.2775978,-.0641904,.0577649,-.1861457,-.0321418,.1695057,-.2337893,.1482649,.4887595,-.1922296
