h,multlin1,seylin,multexp1,seyexp,multrec1,seyrec,ptestdiff
0,1.239996,0.2921041,1.179334,0.3763131,1.451855,0.4649982,
1,1.099147,0.2174007,1.060646,0.304942,1.191498,0.2064566,
2,0.9420875,0.1531962,0.9296148,0.2005253,0.9752737,0.1302202,
3,0.8049639,0.1179041,0.7915884,0.1443595,0.8488649,0.1203365,
4,0.7826619,0.0947122,0.7712442,0.1117,0.8274482,0.1246633,
5,0.7858843,0.081788,0.7649224,0.0916067,0.8798118,0.1385537,
6,0.785075,0.0766046,0.7605761,0.0834322,0.9049038,0.1445551,
7,0.7731124,0.0723417,0.745317,0.0787054,0.9178064,0.147402,
8,0.7782995,0.0660146,0.7492821,0.0718732,0.9410471,0.1521055,
9,0.7953511,0.0636444,0.7670826,0.0672726,0.9681416,0.1555106,
10,0.8143966,0.0641366,0.7866426,0.0655064,1.000737,0.16256,
11,0.8261109,0.0648593,0.7989409,0.0646073,1.026833,0.172188,
12,0.8340933,0.0675155,0.801958,0.0625577,1.097108,0.1893182,
13,0.8380197,0.0613629,0.804707,0.046691,1.132831,0.2046351,
14,0.8443167,0.0662958,0.8086921,0.0578311,1.182601,0.2260968,
15,0.8489261,0.0666933,0.8102788,0.0585799,1.239016,0.2254382,
16,0.8578115,0.0658785,0.8166782,0.0595353,1.293108,0.2710957,
17,0.8726012,0.0681904,0.8294408,0.0620636,1.34376,0.2979343,
18,0.902718,0.072433,0.8535008,0.0654935,1.465426,0.3543825,
19,0.9300242,0.0786918,0.8807642,0.0711417,1.496617,0.386437,
20,0.9590252,0.0861326,0.9104156,0.0781114,1.518052,0.413868,
21,0.9843953,0.0958203,0.9373615,0.0877001,1.519133,0.4363178,
22,1.010345,0.1051476,0.9646242,0.0972582,1.520207,0.4513546,
23,1.051318,0.1166404,1.004871,0.108957,1.561409,0.4849947,
24,1.093085,0.1275974,1.047375,0.1211682,1.58352,0.5106274,
25,1.135137,0.1397724,1.087674,0.1344998,1.632071,0.5507773,
26,1.173409,0.1493242,1.122575,0.1444395,1.692102,0.5694088,
27,1.215614,0.1624484,1.163417,0.1583487,1.730471,0.539014,
28,1.261535,0.1787655,1.20734,0.1754217,1.778046,0.5986217,
29,1.303084,0.1997959,1.24279,0.1932399,1.866973,0.6451901,
30,1.346017,0.2240576,1.282613,0.2172132,1.919004,0.675513,
